id,title,year,runtime,parental_guide,gross_us_canda
8503618,Hamilton,2020,160,PG-13,
1255953,Incendies,2010,131,R,"$2,071,334"
0113277,Heat,1995,170,R,"$67,436,818"
0056592,To Kill a Mockingbird,1962,129,Approved,"$592,237"
1049413,Up,2009,96,PG,"$293,004,164"
0070735,The Sting,1973,129,PG,"$156,000,000"
1832382,Jodaeiye Nader az Simin,2011,123,PG-13,"$7,099,055"
0017136,Metropolis,1927,153,Not Rated,"$1,236,166"
0119488,L.A. Confidential,1997,138,R,"$64,616,940"
0075314,Taxi Driver,1976,114,R,"$28,262,574"
0095016,Die Hard,1988,132,R,"$83,844,093"
0097576,Indiana Jones and the Last Crusade,1989,127,PG-13,"$197,171,806"
0208092,Snatch,2000,104,R,"$30,328,156"
0040522,Ladri di biciclette,1948,89,Not Rated,"$371,111"
0986264,Taare Zameen Par,2007,165,PG,"$352,568"
8579674,1917,2019,119,R,"$159,227,644"
1745960,Top Gun: Maverick,2022,130,PG-13,"$718,732,821"
0363163,Der Untergang,2004,156,R,"$5,509,040"
5074352,Dangal,2016,161,Not Rated,"$12,391,761"
0059578,Per qualche dollaro in più,1965,132,R,"$15,000,000"
0372784,Batman Begins,2005,140,PG-13,"$206,863,479"
0012349,The Kid,1921,68,Passed,"$41,960"
0053291,Some Like It Hot,1959,121,Passed,"$195,088"
10272386,The Father,2020,97,PG-13,"$2,122,771"
0042192,All About Eve,1950,138,Passed,"$63,463"
0993846,The Wolf of Wall Street,2013,180,R,"$116,900,694"
6966692,Green Book,2018,130,PG-13,"$85,080,171"
0055031,Judgment at Nuremberg,1961,179,Approved,"$12,180"
0089881,Ran,1985,162,R,"$4,135,750"
0112641,Casino,1995,178,R,"$42,512,375"
0120382,The Truman Show,1998,103,PG,"$125,618,201"
0469494,There Will Be Blood,2007,158,R,"$40,222,514"
0457430,El laberinto del fauno,2006,118,R,"$37,646,380"
0105695,Unforgiven,1992,130,R,"$101,167,799"
0167404,The Sixth Sense,1999,107,PG-13,"$293,506,292"
1130884,Shutter Island,2010,138,R,"$128,012,934"
0268978,A Beautiful Mind,2001,135,PG-13,"$170,742,341"
0107290,Jurassic Park,1993,127,PG-13,"$404,214,720"
0055630,Yôjinbô,1961,110,Not Rated,"$15,942"
0040897,The Treasure of the Sierra Madre,1948,126,Passed,"$5,014,000"
0071853,Monty Python and the Holy Grail,1975,91,PG,"$1,827,696"
0477348,No Country for Old Men,2007,122,R,"$74,283,625"
0266697,Kill Bill: Vol. 1,2003,111,R,"$70,099,045"
0057115,The Great Escape,1963,172,Approved,"$228,178"
0042876,Rashômon,1950,88,Not Rated,"$46,808"
0084787,The Thing,1982,109,R,"$19,629,760"
0266543,Finding Nemo,2003,100,G,"$380,843,261"
10872600,Spider-Man: No Way Home,2021,148,PG-13,"$814,115,070"
0080678,The Elephant Man,1980,124,PG,"$26,010,864"
0071315,Chinatown,1974,130,R,"$29,200,000"
0081398,Raging Bull,1980,129,R,"$23,383,987"
0434409,V for Vendetta,2005,132,R,"$70,511,035"
0031381,Gone with the Wind,1939,238,Passed,"$200,882,193"
0120735,"Lock, Stock and Two Smoking Barrels",1998,107,R,"$3,753,929"
0046912,Dial M for Murder,1954,105,PG,"$24,845"
2096673,Inside Out,2015,95,PG,"$356,921,711"
0347149,Hauru no ugoku shiro,2004,119,PG,"$6,789,268"
1305806,El secreto de sus ojos,2009,129,R,"$6,391,436"
5027774,"Three Billboards Outside Ebbing, Missouri",2017,115,R,"$54,513,740"
0117951,Trainspotting,1996,93,R,"$16,491,080"
0050212,The Bridge on the River Kwai,1957,161,PG,"$27,200,000"
1392214,Prisoners,2013,153,R,"$61,002,302"
1291584,Warrior,2011,140,PG-13,"$13,657,115"
0116282,Fargo,1996,98,R,"$24,611,975"
1205489,Gran Torino,2008,116,R,"$148,095,302"
0264464,Catch Me If You Can,2002,141,PG-13,"$164,615,351"
0096283,Tonari no Totoro,1988,86,G,"$2,250,213"
0405159,Million Dollar Baby,2004,132,PG-13,"$100,492,203"
0118849,Bacheha-Ye aseman,1997,89,PG,"$933,933"
0083658,Blade Runner,1982,117,R,"$32,914,489"
10366206,John Wick: Chapter 4,2023,169,R,"$168,880,254"
0015864,The Gold Rush,1925,95,Passed,"$29,328"
4729430,Klaus,2019,96,PG,1.85 : 1
1201607,Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,"$381,447,587"
0112471,Before Sunrise,1995,101,R,"$5,535,405"
2024544,12 Years a Slave,2013,134,R,"$56,671,993"
0052618,Ben-Hur,1959,212,G,"$74,432,704"
2278388,The Grand Budapest Hotel,2014,99,R,"$59,301,324"
0047296,On the Waterfront,1954,108,Approved,1.33 : 1
2267998,Gone Girl,2014,149,R,"$167,767,189"
0050986,Smultronstället,1957,91,Not Rated,1.37 : 1
0017925,The General,1926,67,Passed,1.33 : 1
0072684,Barry Lyndon,1975,185,PG,"$234,077"
0107207,In the Name of the Father,1993,133,R,"$25,096,862"
0077416,The Deer Hunter,1978,183,R,"$48,979,328"
0041959,The Third Man,1949,104,Approved,"$13,576"
2119532,Hacksaw Ridge,2016,139,R,"$67,209,615"
0046268,Le salaire de la peur,1953,131,Not Rated,1.37 : 1
0353969,Salinui chueok,2003,131,Not Rated,"$15,357"
3011894,Relatos salvajes,2014,122,R,"$3,106,530"
0015324,Sherlock Jr.,1924,45m,Passed,1.33 : 1
0031679,Mr. Smith Goes to Washington,1939,129,Passed,"$144,738"
1392190,Mad Max: Fury Road,2015,120,R,"$154,109,060"
0978762,Mary and Max.,2009,92,Not Rated,"$1,740,429"
0050976,Det sjunde inseglet,1957,96,Not Rated,"$311,212"
0892769,How to Train Your Dragon,2010,98,PG,"$217,581,231"
0198781,"Monsters, Inc.",2001,92,G,"$290,642,256"
0097165,Dead Poets Society,1989,128,PG,"$95,860,116"
0073195,Jaws,1975,124,PG,"$265,859,065"
3170832,Room,2015,118,R,"$14,677,654"
0118715,The Big Lebowski,1998,117,R,"$18,254,458"
0046438,Tôkyô monogatari,1953,136,Not Rated,1.37 : 1
0019254,La passion de Jeanne d'Arc,1928,110,Passed,"$6,408"
1950186,Ford v Ferrari,2019,152,PG-13,"$117,624,357"
0395169,Hotel Rwanda,2004,121,PG-13,"$23,530,892"
0075148,Rocky,1976,120,PG,"$117,235,147"
0382932,Ratatouille,2007,111,G,"$206,445,654"
0091763,Platoon,1986,120,R,"$138,530,565"
1895587,Spotlight,2015,129,R,"$45,055,776"
3315342,Logan,2017,137,R,"$226,277,068"
0088247,The Terminator,1984,107,R,"$38,371,200"
0092005,Stand by Me,1986,89,R,"$52,287,414"
1979320,Rush,2013,123,R,"$26,947,624"
0074958,Network,1976,121,R,"$23,689,877"
0381681,Before Sunset,2004,80,R,"$5,820,649"
0758758,Into the Wild,2007,148,R,"$18,354,356"
0032138,The Wizard of Oz,1939,102,G,"$24,668,669"
0036868,The Best Years of Our Lives,1946,170,Approved,"$23,650,000"
0070047,The Exorcist,1973,122,R,"$233,005,644"
0107048,Groundhog Day,1993,101,PG,"$71,107,962"
0317705,The Incredibles,2004,115,PG,"$261,441,092"
0035446,To Be or Not to Be,1942,99,Passed,"$4,578,000"
0113247,La haine,1995,98,Not Rated,"$280,859"
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,"$305,413,918"
0048473,Pather Panchali,1955,125,Not Rated,"$16,064"
0058946,La battaglia di Algeri,1966,121,Not Rated,"$879,794"
1028532,Hachi: A Dog's Tale,2009,93,G,"$46,749,646"
0032551,The Grapes of Wrath,1940,129,Passed,1.37 : 1
15097216,Jai Bhim,2021,164,TV-MA,
0476735,Babam ve Oglum,2005,112,Not Rated,1.85 : 1
0245712,Amores perros,2000,154,R,"$5,408,467"
0032976,Rebecca,1940,130,Approved,"$72,275"
4016934,Ah-ga-ssi,2016,145,Not Rated,"$2,006,788"
0061512,Cool Hand Luke,1967,127,GP,$67
0059742,The Sound of Music,1965,172,G,"$159,287,539"
0025316,It Happened One Night,1934,105,Passed,"$11,477"
0053198,Les quatre cents coups,1959,99,Not Rated,"$11,206"
0060827,Persona,1966,85,Not Rated,1.37 : 1
0079470,Life of Brian,1979,94,R,"$20,206,622"
0129167,The Iron Giant,1999,86,PG,"$23,315,035"
1454029,The Help,2011,146,PG-13,"$169,708,112"
0103639,Aladdin,1992,90,G,"$217,350,219"
0071411,Dersu Uzala,1975,142,G,"$14,480"
0099348,Dances with Wolves,1990,181,PG-13,"$184,208,848"
