id,Movie_id,Genre
312,0372784,Crime
313,0372784,Drama
314,0012349,Comedy
315,0012349,Drama
316,0012349,Family
317,0053291,Comedy
318,0053291,Music
319,0053291,Romance
320,10272386,Drama
321,10272386,Mystery
322,0042192,Drama
323,0993846,Biography
324,0993846,Comedy
325,0993846,Crime
326,6966692,Biography
327,6966692,Comedy
328,6966692,Drama
329,0055031,Drama
330,0055031,War
331,0089881,Action
332,0089881,Drama
333,0089881,War
334,0112641,Crime
335,0112641,Drama
336,0120382,Comedy
337,0120382,Drama
338,0469494,Drama
339,0457430,Drama
340,0457430,Fantasy
341,0457430,War
342,0105695,Drama
343,0105695,Western
344,0167404,Drama
345,0167404,Mystery
346,0167404,Thriller
347,1130884,Mystery
348,1130884,Thriller
349,0268978,Biography
350,0268978,Drama
351,0107290,Action
352,0107290,Adventure
353,0107290,Sci-Fi
354,0055630,Action
355,0055630,Drama
356,0055630,Thriller
357,0040897,Adventure
358,0040897,Drama
359,0040897,Western
360,0071853,Adventure
361,0071853,Comedy
362,0071853,Fantasy
363,0477348,Crime
364,0477348,Drama
365,0477348,Thriller
366,0266697,Action
367,0266697,Crime
368,0266697,Drama
369,0057115,Adventure
370,0057115,Drama
371,0057115,History
372,0042876,Crime
373,0042876,Drama
374,0042876,Mystery
375,0084787,Horror
376,0084787,Mystery
377,0084787,Sci-Fi
378,0266543,Animation
379,0266543,Adventure
380,0266543,Comedy
381,10872600,Action
382,10872600,Adventure
383,10872600,Fantasy
384,0080678,Biography
385,0080678,Drama
386,0071315,Drama
387,0071315,Mystery
388,0071315,Thriller
389,0081398,Biography
390,0081398,Drama
391,0081398,Sport
392,0434409,Action
393,0434409,Drama
394,0434409,Sci-Fi
395,0031381,Drama
396,0031381,Romance
397,0031381,War
398,0120735,Action
399,0120735,Comedy
400,0120735,Crime
401,0046912,Crime
402,0046912,Thriller
403,2096673,Animation
404,2096673,Adventure
405,2096673,Comedy
406,0347149,Animation
407,0347149,Adventure
408,0347149,Family
409,1305806,Drama
410,1305806,Mystery
411,1305806,Romance
412,5027774,Comedy
413,5027774,Crime
414,5027774,Drama
415,0117951,Drama
416,0050212,Adventure
417,0050212,Drama
418,0050212,War
419,1392214,Crime
420,1392214,Drama
421,1392214,Mystery
422,1291584,Action
423,1291584,Drama
424,1291584,Sport
425,0116282,Crime
426,0116282,Thriller
427,1205489,Drama
428,0264464,Biography
429,0264464,Crime
430,0264464,Drama
431,0096283,Animation
432,0096283,Comedy
433,0096283,Family
434,0405159,Drama
435,0405159,Sport
436,0118849,Drama
437,0118849,Family
438,0118849,Sport
439,0083658,Action
440,0083658,Drama
441,0083658,Sci-Fi
442,10366206,Action
443,10366206,Crime
444,10366206,Thriller
445,0015864,Adventure
446,0015864,Comedy
447,0015864,Drama
448,4729430,Animation
449,4729430,Adventure
450,4729430,Comedy
451,1201607,Adventure
452,1201607,Family
453,1201607,Fantasy
454,0112471,Drama
455,0112471,Romance
456,2024544,Biography
457,2024544,Drama
458,2024544,History
459,0052618,Adventure
460,0052618,Drama
461,2278388,Adventure
462,2278388,Comedy
463,2278388,Crime
464,0047296,Crime
465,0047296,Drama
466,0047296,Thriller
467,2267998,Drama
468,2267998,Mystery
469,2267998,Thriller
470,0050986,Drama
471,0050986,Romance
472,0017925,Action
473,0017925,Adventure
474,0017925,Comedy
475,0072684,Adventure
476,0072684,Drama
477,0072684,War
478,0107207,Biography
479,0107207,Crime
480,0107207,Drama
481,0077416,Drama
482,0077416,War
483,0041959,Film-Noir
484,0041959,Mystery
485,0041959,Thriller
486,2119532,Biography
487,2119532,Drama
488,2119532,History
489,0046268,Adventure
490,0046268,Drama
491,0046268,Thriller
492,0353969,Crime
493,0353969,Drama
494,0353969,Mystery
495,3011894,Comedy
496,3011894,Drama
497,3011894,Thriller
498,0015324,Action
499,0015324,Comedy
500,0015324,Romance
501,0031679,Comedy
502,0031679,Drama
503,1392190,Action
504,1392190,Adventure
505,1392190,Sci-Fi
506,0978762,Animation
507,0978762,Comedy
508,0978762,Drama
509,0050976,Drama
510,0050976,Fantasy
511,0892769,Animation
512,0892769,Action
513,0892769,Adventure
514,0198781,Animation
515,0198781,Adventure
516,0198781,Comedy
517,0097165,Comedy
518,0097165,Drama
519,0073195,Adventure
520,0073195,Mystery
521,0073195,Thriller
522,3170832,Drama
523,3170832,Thriller
524,0118715,Comedy
525,0118715,Crime
526,0046438,Drama
527,0019254,Biography
528,0019254,Drama
529,0019254,History
530,1950186,Action
531,1950186,Biography
532,1950186,Drama
533,0395169,Biography
534,0395169,Drama
535,0395169,History
536,0075148,Drama
537,0075148,Sport
538,0382932,Animation
539,0382932,Adventure
540,0382932,Comedy
541,0091763,Drama
542,0091763,War
543,1895587,Biography
544,1895587,Crime
545,1895587,Drama
546,3315342,Action
547,3315342,Drama
548,3315342,Sci-Fi
549,0088247,Action
550,0088247,Sci-Fi
551,0092005,Adventure
552,0092005,Drama
553,1979320,Action
554,1979320,Biography
555,1979320,Drama
556,0074958,Drama
557,0381681,Drama
558,0381681,Romance
559,0758758,Adventure
560,0758758,Biography
561,0758758,Drama
562,0032138,Adventure
563,0032138,Family
564,0032138,Fantasy
565,0036868,Drama
566,0036868,Romance
567,0036868,War
568,0070047,Horror
569,0107048,Comedy
570,0107048,Drama
571,0107048,Fantasy
572,0317705,Animation
573,0317705,Action
574,0317705,Adventure
575,0035446,Comedy
576,0035446,Romance
577,0035446,War
578,0113247,Crime
579,0113247,Drama
580,0325980,Action
581,0325980,Adventure
582,0325980,Fantasy
583,0048473,Drama
584,0058946,Drama
585,0058946,War
586,1028532,Biography
587,1028532,Drama
588,1028532,Family
589,0032551,Drama
590,15097216,Crime
591,15097216,Drama
592,15097216,Mystery
593,0476735,Drama
594,0476735,Family
595,0245712,Drama
596,0245712,Thriller
597,0032976,Drama
598,0032976,Film-Noir
599,0032976,Mystery
600,4016934,Drama
601,4016934,Romance
602,4016934,Thriller
603,0061512,Crime
604,0061512,Drama
605,0059742,Biography
606,0059742,Drama
607,0059742,Family
608,0025316,Comedy
609,0025316,Romance
610,0053198,Crime
611,0053198,Drama
612,0060827,Drama
613,0060827,Thriller
614,0079470,Comedy
615,0129167,Animation
616,0129167,Action
617,0129167,Adventure
618,1454029,Drama
619,0103639,Animation
620,0103639,Adventure
621,0103639,Comedy
622,0071411,Adventure
623,0071411,Biography
624,0071411,Drama
625,0099348,Adventure
626,0099348,Drama
627,0099348,Western
